,facilityId,facilityName,stateCode,so2Mass,so2Rate
1631,3,Barry,AL,1.091,0.001
1632,3,Barry,AL,1.037,0.001
1633,3,Barry,AL,0.931,0.001
1634,3,Barry,AL,0.879,0.001
1635,3,Barry,AL,0.87,0.001
1636,3,Barry,AL,0.86,0.001
1637,3,Barry,AL,0.855,0.001
1638,3,Barry,AL,0.897,0.001
1639,3,Barry,AL,1.046,0.001
1640,3,Barry,AL,1.106,0.001
1641,3,Barry,AL,1.132,0.001
1642,3,Barry,AL,1.189,0.001
1643,3,Barry,AL,1.196,0.001
1644,3,Barry,AL,1.197,0.001
1645,3,Barry,AL,1.197,0.001
1646,3,Barry,AL,1.189,0.001
1647,3,Barry,AL,1.194,0.001
1648,3,Barry,AL,1.195,0.001
1649,3,Barry,AL,1.196,0.001
1650,3,Barry,AL,1.197,0.001
1651,3,Barry,AL,1.134,0.001
1652,3,Barry,AL,1.134,0.001
1653,3,Barry,AL,1.137,0.001
1654,3,Barry,AL,1.137,0.001
1655,3,Barry,AL,1.091,0.001
1656,3,Barry,AL,1.091,0.001
1657,3,Barry,AL,1.005,0.001
1658,3,Barry,AL,0.891,0.001
1659,3,Barry,AL,0.854,0.001
1660,3,Barry,AL,0.829,0.001
1661,3,Barry,AL,0.847,0.001
1662,3,Barry,AL,0.874,0.001
1663,3,Barry,AL,1.021,0.001
1664,3,Barry,AL,1.108,0.001
1665,3,Barry,AL,1.128,0.001
1666,3,Barry,AL,1.183,0.001
1667,3,Barry,AL,1.192,0.001
1668,3,Barry,AL,1.191,0.001
1669,3,Barry,AL,1.19,0.001
1670,3,Barry,AL,1.19,0.001
1671,3,Barry,AL,1.19,0.001
1672,3,Barry,AL,1.189,0.001
1673,3,Barry,AL,1.19,0.001
1674,3,Barry,AL,1.198,0.001
1675,3,Barry,AL,1.201,0.001
1676,3,Barry,AL,1.173,0.001
1677,3,Barry,AL,1.137,0.001
1678,3,Barry,AL,1.09,0.001
1679,3,Barry,AL,1.09,0.001
1748,3,Barry,AL,0.297,0.001
1749,3,Barry,AL,0.431,0.001
1750,3,Barry,AL,0.736,0.001
1751,3,Barry,AL,0.843,0.001
1752,3,Barry,AL,0.843,0.001
1753,3,Barry,AL,0.842,0.001
1754,3,Barry,AL,0.841,0.001
1755,3,Barry,AL,0.947,0.001
1764,3,Barry,AL,0.257,0.001
1765,3,Barry,AL,0.722,0.001
1766,3,Barry,AL,1.009,0.001
1767,3,Barry,AL,1.009,0.001
1768,3,Barry,AL,1.01,0.001
1769,3,Barry,AL,1.016,0.001
1770,3,Barry,AL,1.112,0.001
1771,3,Barry,AL,1.12,0.001
1772,3,Barry,AL,1.12,0.001
1773,3,Barry,AL,1.123,0.001
1774,3,Barry,AL,1.125,0.001
1775,3,Barry,AL,1.128,0.001
1776,3,Barry,AL,1.13,0.001
1777,3,Barry,AL,1.092,0.001
1778,3,Barry,AL,1.04,0.001
1779,3,Barry,AL,1.015,0.001
1780,3,Barry,AL,1.058,0.001
1781,3,Barry,AL,1.064,0.001
1782,3,Barry,AL,1.126,0.001
1783,3,Barry,AL,1.168,0.001
1784,3,Barry,AL,1.176,0.001
1785,3,Barry,AL,1.212,0.001
1786,3,Barry,AL,1.273,0.001
1787,3,Barry,AL,1.179,0.001
1788,3,Barry,AL,1.097,0.001
1789,3,Barry,AL,1.105,0.001
1790,3,Barry,AL,1.124,0.001
1791,3,Barry,AL,1.123,0.001
1792,3,Barry,AL,1.139,0.001
1793,3,Barry,AL,1.141,0.001
1794,3,Barry,AL,1.143,0.001
1795,3,Barry,AL,1.143,0.001
1796,3,Barry,AL,1.143,0.001
1797,3,Barry,AL,1.145,0.001
1798,3,Barry,AL,1.136,0.001
1799,3,Barry,AL,1.051,0.001
1800,3,Barry,AL,0.949,0.001
1801,3,Barry,AL,0.875,0.001
1802,3,Barry,AL,0.844,0.001
1803,3,Barry,AL,0.795,0.001
1804,3,Barry,AL,0.735,0.001
1805,3,Barry,AL,0.769,0.001
1806,3,Barry,AL,0.838,0.001
1807,3,Barry,AL,1.011,0.001
1808,3,Barry,AL,1.167,0.001
1809,3,Barry,AL,1.176,0.001
1810,3,Barry,AL,1.18,0.001
1811,3,Barry,AL,1.225,0.001
1812,3,Barry,AL,1.275,0.001
1813,3,Barry,AL,1.264,0.001
1814,3,Barry,AL,1.17,0.001
1815,3,Barry,AL,1.174,0.001
1816,3,Barry,AL,1.173,0.001
1817,3,Barry,AL,1.177,0.001
1818,3,Barry,AL,1.178,0.001
1819,3,Barry,AL,1.177,0.001
1820,3,Barry,AL,1.184,0.001
1821,3,Barry,AL,1.183,0.001
1822,3,Barry,AL,1.131,0.001
1823,3,Barry,AL,1.112,0.001
1824,3,Barry,AL,0.975,0.001
1825,3,Barry,AL,0.915,0.001
1826,3,Barry,AL,0.823,0.001
1827,3,Barry,AL,0.838,0.001
1828,3,Barry,AL,0.8,0.001
1829,3,Barry,AL,0.737,0.001
1830,3,Barry,AL,0.797,0.001
1831,3,Barry,AL,0.985,0.001
1832,3,Barry,AL,1.158,0.001
1833,3,Barry,AL,1.173,0.001
1834,3,Barry,AL,1.171,0.001
1835,3,Barry,AL,1.198,0.001
1836,3,Barry,AL,1.27,0.001
1837,3,Barry,AL,1.27,0.001
1838,3,Barry,AL,1.267,0.001
1839,3,Barry,AL,1.266,0.001
1840,3,Barry,AL,1.269,0.001
1841,3,Barry,AL,1.272,0.001
1842,3,Barry,AL,1.279,0.001
1843,3,Barry,AL,1.282,0.001
1844,3,Barry,AL,1.233,0.001
1845,3,Barry,AL,1.183,0.001
1846,3,Barry,AL,1.179,0.001
1847,3,Barry,AL,1.129,0.001
1848,3,Barry,AL,1.022,0.001
1849,3,Barry,AL,0.956,0.001
1850,3,Barry,AL,0.942,0.001
1851,3,Barry,AL,0.967,0.001
1852,3,Barry,AL,1.035,0.001
1853,3,Barry,AL,1.13,0.001
1854,3,Barry,AL,1.109,0.001
1855,3,Barry,AL,1.167,0.001
1856,3,Barry,AL,1.174,0.001
1857,3,Barry,AL,1.177,0.001
1858,3,Barry,AL,1.192,0.001
1859,3,Barry,AL,1.272,0.001
1860,3,Barry,AL,1.27,0.001
1861,3,Barry,AL,1.269,0.001
1862,3,Barry,AL,1.267,0.001
1863,3,Barry,AL,1.27,0.001
1864,3,Barry,AL,1.277,0.001
1865,3,Barry,AL,1.279,0.001
1866,3,Barry,AL,1.275,0.001
1867,3,Barry,AL,1.278,0.001
1868,3,Barry,AL,1.262,0.001
1869,3,Barry,AL,1.175,0.001
1870,3,Barry,AL,1.181,0.001
1871,3,Barry,AL,1.177,0.001
1872,3,Barry,AL,1.133,0.001
1873,3,Barry,AL,1.129,0.001
1874,3,Barry,AL,1.133,0.001
1875,3,Barry,AL,1.136,0.001
1876,3,Barry,AL,1.138,0.001
1877,3,Barry,AL,1.136,0.001
1878,3,Barry,AL,1.163,0.001
1879,3,Barry,AL,1.181,0.001
1880,3,Barry,AL,1.179,0.001
1881,3,Barry,AL,1.122,0.001
1882,3,Barry,AL,1.129,0.001
1883,3,Barry,AL,1.125,0.001
1884,3,Barry,AL,1.159,0.001
1885,3,Barry,AL,1.175,0.001
1886,3,Barry,AL,1.18,0.001
1887,3,Barry,AL,1.181,0.001
1888,3,Barry,AL,1.18,0.001
1889,3,Barry,AL,1.178,0.001
1890,3,Barry,AL,1.175,0.001
1891,3,Barry,AL,1.178,0.001
1892,3,Barry,AL,1.182,0.001
1893,3,Barry,AL,1.183,0.001
1894,3,Barry,AL,1.175,0.001
1895,3,Barry,AL,1.135,0.001
1896,3,Barry,AL,1.132,0.001
1897,3,Barry,AL,1.132,0.001
1898,3,Barry,AL,1.118,0.001
1899,3,Barry,AL,1.134,0.001
1900,3,Barry,AL,1.14,0.001
1901,3,Barry,AL,1.14,0.001
1902,3,Barry,AL,1.138,0.001
1903,3,Barry,AL,1.138,0.001
1904,3,Barry,AL,1.182,0.001
1905,3,Barry,AL,1.192,0.001
1906,3,Barry,AL,1.213,0.001
1907,3,Barry,AL,1.29,0.001
1908,3,Barry,AL,1.273,0.001
1909,3,Barry,AL,1.187,0.001
1910,3,Barry,AL,1.186,0.001
1911,3,Barry,AL,1.184,0.001
1912,3,Barry,AL,1.185,0.001
1913,3,Barry,AL,1.184,0.001
1914,3,Barry,AL,1.185,0.001
1915,3,Barry,AL,1.185,0.001
1916,3,Barry,AL,1.188,0.001
1917,3,Barry,AL,1.187,0.001
1918,3,Barry,AL,1.135,0.001
1919,3,Barry,AL,1.037,0.001
1920,3,Barry,AL,0.885,0.001
1921,3,Barry,AL,0.902,0.001
1922,3,Barry,AL,0.848,0.001
1923,3,Barry,AL,0.892,0.001
1924,3,Barry,AL,0.921,0.001
1925,3,Barry,AL,0.915,0.001
1926,3,Barry,AL,0.935,0.001
1927,3,Barry,AL,1.097,0.001
1928,3,Barry,AL,1.13,0.001
1929,3,Barry,AL,1.169,0.001
1930,3,Barry,AL,1.194,0.001
1931,3,Barry,AL,1.285,0.001
1932,3,Barry,AL,1.285,0.001
1933,3,Barry,AL,1.281,0.001
1934,3,Barry,AL,1.261,0.001
1935,3,Barry,AL,1.28,0.001
1936,3,Barry,AL,1.278,0.001
1937,3,Barry,AL,1.277,0.001
1938,3,Barry,AL,1.279,0.001
1939,3,Barry,AL,1.216,0.001
1940,3,Barry,AL,1.184,0.001
1941,3,Barry,AL,1.183,0.001
1942,3,Barry,AL,1.122,0.001
1943,3,Barry,AL,1.111,0.001
